2023,6,15
product_name,original_price,discounted_price,discount_rate,image_link,search_keyword,purchase_link
오픈 칼라 쇼트 슬리브 셔츠 [네이비],31900,28690,10,http://image.msscdn.net/images/goods_img/20190604/1063858/1063858_16760176996833_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/1063858
솔리드 투포켓 오버핏 반팔 셔츠 (GRAY),46000,39000,15,http://image.msscdn.net/images/goods_img/20210525/1967048/1967048_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/1967048
아이시 린넨 데님 반팔 셔츠 [BLUE],72000,64800,10,http://image.msscdn.net/images/goods_img/20230424/3255484/3255484_16825636341493_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3255484
[무료반품] 데이지 하프 셔츠 아이보리,138000,138000,0,http://image.msscdn.net/images/goods_img/20230308/3133294/3133294_16792985308552_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3133294
043510 옥스포드 반팔셔츠_6color,49800,44800,10,http://image.msscdn.net/images/goods_img/20230508/3281664/3281664_16843793396004_220.png,반팔셔츠,https://www.musinsa.com/app/goods/3281664
(올시즌) 시어서커 하프 셔츠_블랙,41800,37500,10,http://image.msscdn.net/images/goods_img/20230322/3170594/3170594_16817809335079_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3170594
모리스 블라우스_BLACK,128000,128000,0,http://image.msscdn.net/images/goods_img/20230310/3138634/3138634_16786848314116_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3138634
unisex half henlyneck shirts black,88000,88000,0,http://image.msscdn.net/images/goods_img/20220311/2412278/2412278_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2412278
웨스턴 워시드 데님 루즈핏 셔츠 블루,96000,81600,15,http://image.msscdn.net/images/goods_img/20230523/3316507/3316507_16848058579148_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3316507
텐셀 린넨 시티보이 빅오버 셔츠_Black,49800,39800,20,http://image.msscdn.net/images/goods_img/20230425/3260128/3260128_16829959093430_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3260128
oxford bd short shirts white,73000,69350,5,http://image.msscdn.net/images/goods_img/20220418/2496697/2496697_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2496697
(올시즌) 시어서커 하프 셋업_블랙,73500,66000,10,http://image.msscdn.net/images/goods_img/20230322/3170597/3170597_16817808924059_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3170597
텐셀 린넨 시티보이 빅오버 반팔셔츠_Sky Blue,46000,36800,20,http://image.msscdn.net/images/goods_img/20230508/3280483/3280483_16835926054787_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3280483
[무료반품] 커프 라인 하프 셔츠_차콜,81000,64800,20,http://image.msscdn.net/images/goods_img/20230421/3253717/3253717_16830012033858_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/3253717
페이즐리 오픈카라 셔츠 블랙,51000,38500,25,http://image.msscdn.net/images/goods_img/20220413/2485597/2485597_16822995751790_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2485597
네츄럴 링클 하프 슬리브 셔츠_BLACK,59900,53910,10,http://image.msscdn.net/images/goods_img/20220325/2445804/2445804_16812836059970_220.png,반팔셔츠,https://www.musinsa.com/app/goods/2445804
[SET] 쿨링 데님 루즈 반팔 셔츠 + 와이드 팬츠 인디고,91000,69900,23,http://image.msscdn.net/images/goods_img/20220628/2635669/2635669_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2635669
린넨 포켓 오버핏 반팔 셔츠 [차콜],58000,39900,31,http://image.msscdn.net/images/goods_img/20220503/2540260/2540260_16830055303043_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2540260
오버사이즈 플리츠 반팔 셔츠 [BLACK],59000,53100,10,http://image.msscdn.net/images/goods_img/20220422/2510185/2510185_1_220.jpg,반팔셔츠,https://www.musinsa.com/app/goods/2510185
